Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_0603_1608Metric",-36.800000,-13.200000,-90.000000,bottom
"C2","22uF","C_0603_1608Metric",-35.250000,-13.200000,-90.000000,bottom
"C3","2.2uF","C_0402_1005Metric",-33.950000,-12.750000,-90.000000,bottom
"C4","0.1uF","C_0402_1005Metric",-43.000000,-9.900000,0.000000,bottom
"C6","22uF","C_0603_1608Metric",-46.300000,-13.200000,-90.000000,bottom
"C7","22uF","C_0603_1608Metric",-43.200000,-13.200000,-90.000000,bottom
"C8","22uF","C_0603_1608Metric",-44.750000,-13.200000,-90.000000,bottom
"C29","0.1","C_0402_1005Metric",-21.100000,-19.050000,-90.000000,bottom
"C30","4.7uF","C_0402_1005Metric",-48.250000,-15.300000,90.000000,bottom
"C31","4.7uF","C_0402_1005Metric",-48.250000,-21.650000,-90.000000,bottom
"C33","4.7uF","C_0402_1005Metric",-44.950000,-19.400000,90.000000,bottom
"C34","0.1","C_0402_1005Metric",-21.094200,-13.624400,180.000000,bottom
"FB1","FerriteBead","R_0805_2012Metric",-31.750000,-12.500000,0.000000,bottom
"FB2","FerriteBead","R_0805_2012Metric",-48.800000,-12.425000,0.000000,bottom
"J2","TSM-116-01-L-SV","SAMTEC_TSM-116-01-L-SV",-23.400000,-24.666000,180.000000,bottom
"J3","TSM-112-01-L-SV","SAMTEC_TSM-112-01-L-SV",-28.480000,-4.340000,180.000000,bottom
"L1","1 uH","L_Coilcraft_XxL4020",-39.950000,-17.250000,180.000000,bottom
"R1","1.24M","R_0402_1005Metric",-46.100000,-11.150000,180.000000,bottom
"R2","182k","R_0402_1005Metric",-44.600000,-10.690000,90.000000,bottom
"R15","100k","R_0402_1005Metric",-31.000000,-14.000000,180.000000,bottom
"U2","TPS63020QDSJTQ1","IC_TPS63020DSJR",-39.987500,-12.200000,180.000000,bottom
"U3","TXB0108DQSR","USON-20_2x4mm_P0.4mm",-21.100000,-16.400000,90.000000,bottom
"U4","MAX8868EUK30+T","SOT95P280X145-5N",-47.300000,-18.282500,-90.000000,bottom
"VD5","SS2030FL_R1_00001","D_SOD-123F",-14.550000,-10.400000,90.000000,bottom
"VD6","SS2030FL_R1_00001","D_SOD-123F",-16.950000,-10.400000,90.000000,bottom
"VT4","DTC043TEBTL","DTC043TEBTL",-23.900000,-9.000000,-90.000000,bottom
"C9","DNP","C_0402_1005Metric",49.250000,-7.930000,-90.000000,top
"C11","0.1","C_0402_1005Metric",11.380000,-19.240000,-90.000000,top
"C13","DNP","C_0402_1005Metric",46.350000,-7.930000,-90.000000,top
"C16","33pF","C_0402_1005Metric",4.880000,-19.740000,-90.000000,top
"C17","33pF","C_0402_1005Metric",10.080000,-19.240000,-90.000000,top
"C18","33pF","C_0402_1005Metric",5.880000,-19.740000,-90.000000,top
"C20","100nF","C_0402_1005Metric",47.700000,-19.050000,-90.000000,top
"C21","100nF","C_0402_1005Metric",24.300000,-25.500000,-90.000000,top
"C22","33pF","C_0402_1005Metric",46.500000,-19.050000,-90.000000,top
"C23","33pF","C_0402_1005Metric",25.300000,-25.500000,-90.000000,top
"C24","10pF","C_0402_1005Metric",48.900000,-19.050000,-90.000000,top
"C25","10pF","C_0402_1005Metric",26.300000,-25.500000,-90.000000,top
"C26","C_Polarized_US","CP_EIA-3528-12_Kemet-T",47.600000,-15.250000,90.000000,top
"C28","C_Polarized_US","CP_EIA-3528-12_Kemet-T",21.200000,-25.900000,180.000000,top
"D1","SMF05C","SC70-6",8.200000,-19.740000,0.000000,top
"FB3","FerriteBead","R_0805_2012Metric",50.500000,-15.850000,90.000000,top
"FB4","FerriteBead","R_0805_2012Metric",28.800000,-26.100000,0.000000,top
"J1","SIM8060-6-0-14-00-A","GCT_SIM8060-6-0-14-00-A",8.200000,-10.400000,180.000000,top
"J4","U.FL-R-SMT","HRS_U.FL-R-SMT(10)",49.250000,-3.562500,90.000000,top
"R3","0","R_0402_1005Metric",5.880000,-22.440000,90.000000,top
"R6","0","R_0402_1005Metric",47.800000,-7.450000,180.000000,top
"R8","15k","R_0402_1005Metric",4.780000,-25.240000,0.000000,top
"R14","470","C_0402_1005Metric",49.350000,-10.650000,-90.000000,top
"R21","0","R_0402_1005Metric",12.380000,-24.240000,90.000000,top
"R22","0","R_0402_1005Metric",8.780000,-24.640000,90.000000,top
"U1","BG96","Quectel_BG96",32.300000,-12.700000,-90.000000,top
"VD1","D_TVS","D_0402_1005Metric",49.735000,-6.462500,180.000000,top
"VD4","BLUE","LED_0603_1608Metric",50.650000,-10.350000,-90.000000,top
"VT3","DTC043TEBTL","DTC043TEBTL",47.700000,-10.450000,0.000000,top
