Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_0603_1608Metric",-38.800000,-12.200000,-90.000000,bottom
"C2","22uF","C_0603_1608Metric",-37.250000,-12.200000,-90.000000,bottom
"C3","2.2uF","C_0402_1005Metric",-35.950000,-11.750000,-90.000000,bottom
"C4","0.1uF","C_0402_1005Metric",-45.000000,-8.900000,0.000000,bottom
"C6","22uF","C_0603_1608Metric",-48.300000,-12.200000,-90.000000,bottom
"C7","22uF","C_0603_1608Metric",-45.200000,-12.200000,-90.000000,bottom
"C8","22uF","C_0603_1608Metric",-46.750000,-12.200000,-90.000000,bottom
"C29","0.1","C_0402_1005Metric",-23.100000,-18.050000,-90.000000,bottom
"C34","0.1","C_0402_1005Metric",-23.094200,-12.624400,180.000000,bottom
"FB1","FerriteBead","R_0805_2012Metric",-33.750000,-11.500000,0.000000,bottom
"FB2","FerriteBead","R_0805_2012Metric",-50.800000,-11.425000,0.000000,bottom
"J2","TSM-116-01-L-SV","SAMTEC_TSM-116-01-L-SV",-25.400000,-23.666000,180.000000,bottom
"J3","TSM-112-01-L-SV","SAMTEC_TSM-112-01-L-SV",-30.480000,-3.340000,180.000000,bottom
"L1","1 uH","L_Coilcraft_XxL4020",-41.950000,-16.250000,180.000000,bottom
"R1","1.24M","R_0402_1005Metric",-48.100000,-10.150000,180.000000,bottom
"R2","182k","R_0402_1005Metric",-46.600000,-9.690000,90.000000,bottom
"R15","100k","R_0402_1005Metric",-33.000000,-13.000000,180.000000,bottom
"U2","TPS63020QDSJTQ1","IC_TPS63020DSJR",-41.987500,-11.200000,180.000000,bottom
"U3","TXB0108DQSR","USON-20_2x4mm_P0.4mm",-23.100000,-15.400000,90.000000,bottom
"VD5","SS2030FL_R1_00001","D_SOD-123F",-16.550000,-9.400000,90.000000,bottom
"VD6","SS2030FL_R1_00001","D_SOD-123F",-18.950000,-9.400000,90.000000,bottom
"VT4","DTC043TEBTL","DTC043TEBTL",-26.200000,-8.900000,-90.000000,bottom
