Ref,Val,Package,PosX,PosY,Rot,Side
"C9","DNP","C_0402_1005Metric",51.250000,-6.930000,-90.000000,top
"C11","0.1","C_0402_1005Metric",13.380000,-18.240000,-90.000000,top
"C13","DNP","C_0402_1005Metric",48.350000,-6.930000,-90.000000,top
"C16","33pF","C_0402_1005Metric",6.880000,-18.740000,-90.000000,top
"C17","33pF","C_0402_1005Metric",12.080000,-18.240000,-90.000000,top
"C18","33pF","C_0402_1005Metric",7.880000,-18.740000,-90.000000,top
"C20","100nF","C_0402_1005Metric",49.700000,-18.050000,-90.000000,top
"C21","100nF","C_0402_1005Metric",26.300000,-24.500000,-90.000000,top
"C22","33pF","C_0402_1005Metric",48.500000,-18.050000,-90.000000,top
"C23","33pF","C_0402_1005Metric",27.300000,-24.500000,-90.000000,top
"C24","10pF","C_0402_1005Metric",50.900000,-18.050000,-90.000000,top
"C25","10pF","C_0402_1005Metric",28.300000,-24.500000,-90.000000,top
"C26","C_Polarized_US","CP_EIA-3528-12_Kemet-T",49.600000,-14.250000,90.000000,top
"C28","C_Polarized_US","CP_EIA-3528-12_Kemet-T",23.200000,-24.900000,180.000000,top
"D1","SMF05C","SC70-6",10.200000,-18.740000,0.000000,top
"FB3","FerriteBead","R_0805_2012Metric",52.500000,-14.850000,90.000000,top
"FB4","FerriteBead","R_0805_2012Metric",30.800000,-25.100000,0.000000,top
"J1","SIM8060-6-0-14-00-A","GCT_SIM8060-6-0-14-00-A",10.200000,-9.400000,180.000000,top
"J4","U.FL-R-SMT","HRS_U.FL-R-SMT(10)",51.250000,-2.562500,90.000000,top
"R3","0","R_0402_1005Metric",7.880000,-21.440000,90.000000,top
"R6","0","R_0402_1005Metric",49.800000,-6.450000,180.000000,top
"R8","15k","R_0402_1005Metric",6.780000,-24.240000,0.000000,top
"R14","470","C_0402_1005Metric",51.350000,-9.650000,-90.000000,top
"R21","0","R_0402_1005Metric",14.380000,-23.240000,90.000000,top
"R22","0","R_0402_1005Metric",10.780000,-23.640000,90.000000,top
"U1","BG96","Quectel_BG96",34.300000,-11.700000,-90.000000,top
"VD1","D_TVS","D_0402_1005Metric",51.735000,-5.462500,180.000000,top
"VD4","BLUE","LED_0603_1608Metric",52.650000,-9.350000,-90.000000,top
"VT3","DTC043TEBTL","DTC043TEBTL",49.700000,-9.450000,0.000000,top
